YEAR,MONTH,BLOCK,CRIMECODE,DESCRIPTION,COUNT
2015,5,245100105001007,5C,BURGLARY,1
2015,5,245100105001008,5A,BURGLARY,2
2015,5,245100201002000,5C,BURGLARY,1
2015,5,245100201002008,6F,LARCENY,1
2015,5,245100203003005,6C,LARCENY,1
2015,5,245100301001002,4E,COMMON ASSAULT,1
2015,5,245100301001018,7A,AUTO THEFT,1
2015,5,245100401002009,6G,LARCENY,1
2015,5,245100401002043,4E,COMMON ASSAULT,1
2015,5,245100401002051,5D,BURGLARY,1
2015,5,245100602001000,4E,COMMON ASSAULT,1
2015,5,245100604001004,6G,LARCENY,1
2015,5,245100604001004,6J,LARCENY,1
2015,5,245100701001011,4C,AGG. ASSAULT,1
2015,5,245100801013002,7A,AUTO THEFT,1
2015,5,245100802003000,1F,HOMICIDE,2
2015,5,245100802003010,1F,HOMICIDE,1
2015,5,245100802003010,4A,AGG. ASSAULT,1
2015,5,245100802003010,9S,SHOOTING,1
2015,5,245100804002013,7A,AUTO THEFT,1
2015,5,245100805001000,9S,SHOOTING,1
2015,5,245100805001001,4A,AGG. ASSAULT,1
2015,5,245100805001002,6F,LARCENY,1
2015,5,245100805003005,4E,COMMON ASSAULT,1
2015,5,245100902002020,7A,AUTO THEFT,1
2015,5,245100903003016,7A,AUTO THEFT,1
2015,5,245100906002004,4E,COMMON ASSAULT,1
2015,5,245100908001012,7A,AUTO THEFT,1
2015,5,245100909002000,6D,LARCENY FROM AUTO,1
2015,5,245100909002005,6D,LARCENY FROM AUTO,1
2015,5,245101001003004,8AO,ARSON,1
2015,5,245101001003006,4C,AGG. ASSAULT,1
2015,5,245101001004012,4E,COMMON ASSAULT,1
2015,5,245101002003006,4E,COMMON ASSAULT,1
2015,5,245101102002016,3CF,ROBBERY - COMMERCIAL,1
2015,5,245101202011020,6G,LARCENY,1
2015,5,245101202012007,6J,LARCENY,1
2015,5,245101203004002,6E,LARCENY,1
2015,5,245101301004000,6G,LARCENY,1
2015,5,245101302003003,5A,BURGLARY,1
2015,5,245101303003012,4E,COMMON ASSAULT,1
2015,5,245101306002006,7A,AUTO THEFT,1
2015,5,245101308032008,7A,AUTO THEFT,1
2015,5,245101308032010,7A,AUTO THEFT,1
2015,5,245101401003011,6D,LARCENY FROM AUTO,1
2015,5,245101503001007,8AO,ARSON,1
2015,5,245101504002010,4E,COMMON ASSAULT,2
2015,5,245101504003015,5A,BURGLARY,1
2015,5,245101505001018,4E,COMMON ASSAULT,1
2015,5,245101505002014,6C,LARCENY,1
2015,5,245101505002016,6E,LARCENY,1
2015,5,245101506002002,4C,AGG. ASSAULT,1
2015,5,245101506002002,6G,LARCENY,1
2015,5,245101506002002,7A,AUTO THEFT,1
2015,5,245101510003011,6D,LARCENY FROM AUTO,1
2015,5,245101512001010,4F,ASSAULT BY THREAT,1
2015,5,245101512004007,7A,AUTO THEFT,1
2015,5,245101513001003,4E,COMMON ASSAULT,1
2015,5,245101513004000,4E,COMMON ASSAULT,1
2015,5,245101513004003,4E,COMMON ASSAULT,2
2015,5,245101604004000,3AJF,ROBBERY - CARJACKING,1
2015,5,245101605003011,5E,BURGLARY,1
2015,5,245101608021009,5A,BURGLARY,1
2015,5,245101702003002,4E,COMMON ASSAULT,3
2015,5,245101703002000,4E,COMMON ASSAULT,2
2015,5,245101803002005,6J,LARCENY,1
2015,5,245101901002017,4A,AGG. ASSAULT,1
2015,5,245101901003017,9S,SHOOTING,1
2015,5,245101902001005,4E,COMMON ASSAULT,1
2015,5,245101902001008,6E,LARCENY,1
2015,5,245101902001013,6D,LARCENY FROM AUTO,1
2015,5,245101902002006,4B,AGG. ASSAULT,1
2015,5,245101903002012,6D,LARCENY FROM AUTO,1
2015,5,245101903003002,5E,BURGLARY,1
2015,5,245101903004013,6E,LARCENY,1
2015,5,245102005003000,8J,ARSON,1
2015,5,245102008001026,5F,BURGLARY,1
2015,5,245102101002013,4A,AGG. ASSAULT,1
2015,5,245102201002035,4F,ASSAULT BY THREAT,1
2015,5,245102201002041,6D,LARCENY FROM AUTO,1
2015,5,245102301001006,6E,LARCENY,1
2015,5,245102302002001,6J,LARCENY,1
2015,5,245102502032002,6E,LARCENY,1
2015,5,245102502051038,6E,LARCENY,1
2015,5,245102502062027,6C,LARCENY,1
2015,5,245102503011007,3B,ROBBERY - STREET,1
2015,5,245102503011051,6J,LARCENY,1
2015,5,245102504011020,3B,ROBBERY - STREET,1
2015,5,245102504023003,7A,AUTO THEFT,1
2015,5,245102504024005,4E,COMMON ASSAULT,1
2015,5,245102505003015,6F,LARCENY,1
2015,5,245102505005009,4E,COMMON ASSAULT,1
2015,5,245102601023000,7A,AUTO THEFT,1
2015,5,245102602011000,6C,LARCENY,1
2015,5,245102602023003,4E,COMMON ASSAULT,1
2015,5,245102603031002,5D,BURGLARY,1
2015,5,245102604022006,3AO,ROBBERY - STREET,1
2015,5,245102604043015,3CF,ROBBERY - COMMERCIAL,1
2015,5,245102604043018,6E,LARCENY,1
2015,5,245102604043022,4B,AGG. ASSAULT,1
2015,5,245102605012017,6G,LARCENY,1
2015,5,245102605013037,3D,ROBBERY - COMMERCIAL,1
2015,5,245102606041007,4A,AGG. ASSAULT,1
2015,5,245102606041007,4E,COMMON ASSAULT,1
2015,5,245102608001001,5A,BURGLARY,1
2015,5,245102608001001,6B,LARCENY,1
2015,5,245102610002011,6D,LARCENY FROM AUTO,1
2015,5,245102701012020,6J,LARCENY,1
2015,5,245102705022008,7A,AUTO THEFT,1
2015,5,245102705024019,3GF,ROBBERY - COMMERCIAL,1
2015,5,245102707011011,4E,COMMON ASSAULT,1
2015,5,245102707011012,6E,LARCENY,1
2015,5,245102708041000,6D,LARCENY FROM AUTO,1
2015,5,245102708042010,6D,LARCENY FROM AUTO,1
2015,5,245102709033013,6C,LARCENY,1
2015,5,245102711013013,6D,LARCENY FROM AUTO,1
2015,5,245102714002040,6D,LARCENY FROM AUTO,1
2015,5,245102715012008,7A,AUTO THEFT,1
2015,5,245102715031020,6E,LARCENY,1
2015,5,245102717001011,3AK,ROBBERY - STREET,1
2015,5,245102717003011,7A,AUTO THEFT,1
2015,5,245102718022011,6E,LARCENY,1
2015,5,245102720071001,2B,RAPE,1
2015,5,245102801013026,4E,COMMON ASSAULT,1
2015,5,245102802001001,6D,LARCENY FROM AUTO,1
